Province,Region,Revenue,Expense,Debt,NumVehicles ,,,,,Debt,,NumVehicles ,,,13497,,Revenue,Lower quartile,19.5,19554,,11864,,Expense,Lower quartile,19.5,15790,8090,,Debt,Lower quartile,19.5,128544
     Samut Songkhram ,Central,18310,18801,8090,65444,54907,Revenue,______,[,8090,",",65444,],",",14950,,,Upper quartile,58.5,26403.5,,12075,,,Upper quartile,58.5,22145.5,22272,,,Upper quartile,58.5,191701.5
     Yala ,South,15584,13454,22272,264063,35546520,Expense,__________,[,22272,",",264063,],",",15119,,,,,,,12131,,,,,,31196,,,,,
     Chiang Mai ,North,14950,11864,31196,1298643,13497,Debt,_______,[,31196,",",1298643,],",",15452,,,,,,,12747,,,,,,40567,,,,,
     Narathiwat ,South,19890,13717,40567,232861,45572,,,[,40567,",",232861,],",",15584,,,,,,,13454,,,,,,50553,,,,,
     Suphan Buri ,Central,15786,14146,50553,453987,,,,[,50553,",",453987,],",",15786,,,,,,,13717,,,,,,62493,,,,,
     Khon Kaen ,Northeast,21337,16880,62493,785679,,,,[,62493,",",785679,],",",15804,,,,,,,13783,,,,,,73166,,,,,
     Chiang Rai ,North,13497,12075,73166,679344,,,,[,73166,",",679344,],",",17513,,,,,,,13848,,,,,,75443,,,,,
     Chachoengsao ,Central,27555,21783,75443,350187,,,,[,75443,",",350187,],",",17673,,,,,,,13973,,,,,,87647,,,,,
     Samut Prakan ,Bangkok and suburb cities,25457,22332,87647,162977,,,,[,87647,",",162977,],",",17886,,,,,,,14146,,,,,,89862,,,,,
     Kanchanaburi ,Central,18884,15765,89862,376453,,,,[,89862,",",376453,],",",18310,,,,,,,14165,,,,,,92474,,,,,
     Lop Buri ,Central,22955,17969,92474,395405,,,,[,92474,",",395405,],",",18480,,,,,,,14453,,,,,,102816,,,,,
     Nakhon Phanom ,Northeast,15804,13973,102816,210270,,,,[,102816,",",210270,],",",18540,,,,,,,14549,,,,,,104894,,,,,
     Ratchaburi ,Central,19590,15084,104894,470823,,,,[,104894,",",470823,],",",18793,,,,,,,14654,,,,,,106994,,,,,
     Ranong ,South,22035,18617,106994,81081,,,,[,106994,",",81081,],",",18884,,,,,,,15084,,,,,,107736,,,,,
     Nong Khai ,Northeast,21207,19278,107736,219648,,,,[,107736,",",219648,],",",19235,,,,,,,15176,,,,,,119216,,,,,
     Lampang ,North,20466,15315,119216,433692,,,,[,119216,",",433692,],",",19239,,,,,,,15315,,,,,,123172,,,,,
     Mae Hong Son ,North,15119,12131,123172,54907,,,,[,123172,",",54907,],",",19281,,,,,,,15341,,,,,,123720,,,,,
     Yasothon ,Northeast,19518,14453,123720,198014,,,,[,123720,",",198014,],",",19518,,,,,,,15765,,,,,,128258,,,,,
     Maha Sarakham ,Northeast,18540,14654,128258,308464,,,,[,128258,",",308464,],",",[,19590,",",470823,],",",,[,15815,",",249983,],",",[,128830,",",214043,],","
     Samut Sakhon ,Central,29347,22877,128830,214043,,,,[,128830,",",214043,],",",[,19890,",",232861,],",",,[,16087,",",464258,],",",[,130258,",",349372,],","
     Chanthaburi ,Central,36024,23351,130258,349372,,,,[,130258,",",349372,],",",[,19990,",",371689,],",",,[,16141,",",427725,],",",[,131577,",",272856,],","
     Kalasin ,Northeast,15452,12747,131577,272856,,,,[,131577,",",272856,],",",[,20079,",",210127,],",",,[,16232,",",249295,],",",[,131873,",",357261,],","
     Trang ,South,23309,19795,131873,357261,,,,[,131873,",",357261,],",",[,20115,",",171267,],",",,[,16332,",",338717,],",",[,132829,",",144029,],","
     Ang Thong ,Central,23351,17574,132829,144029,,,,[,132829,",",144029,],",",[,20140,",",337049,],",",,[,16402,",",171267,],",",[,135277,",",370697,],","
     Si Sa Ket ,Northeast,18793,18124,135277,370697,,,,[,135277,",",370697,],",",[,20315,",",424853,],",",,[,16449,",",246076,],",",[,135376,",",435785,],","
     Phuket ,South,31500,27435,135376,435785,,,,[,135376,",",435785,],",",[,20453,",",677264,],",",,[,16854,",",281735,],",",[,136208,",",677264,],","
     Ubon Ratchathani ,Northeast,20453,13848,136208,677264,,,,[,136208,",",677264,],",",[,20466,",",433692,],",",,[,16880,",",785679,],",",[,140079,",",145016,],","
     Nong Bua Lam Phu ,Northeast,22553,18761,140079,145016,,,,[,140079,",",145016,],",",[,20990,",",249295,],",",,[,17029,",",117372,],",",[,141540,",",217580,],","
     Pattani ,South,17513,15341,141540,217580,,,,[,141540,",",217580,],",",[,21173,",",117372,],",",,[,17128,",",530279,],",",[,144657,",",118380,],","
     Nakhon Nayok ,Central,23555,18154,144657,118380,,,,[,144657,",",118380,],",",[,21207,",",219648,],",",,[,17143,",",242429,],",",[,145458,",",132211,],","
     Satun ,South,23209,19591,145458,132211,,,,[,145458,",",132211,],",",[,21337,",",427725,],",",,[,17163,",",164797,],",",[,145527,",",649457,],","
     Rayong ,Central,30315,24434,145527,649457,,,,[,145527,",",649457,],",",[,21337,",",785679,],",",,[,17246,",",292016,],",",[,145791,",",210127,],","
     Tak ,North,20079,15176,145791,210127,,,,[,145791,",",210127,],",",[,21478,",",242429,],",",,[,17371,",",337049,],",",[,147114,",",128018,],","
